Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,Discontinue the medication immediately.,Seek immediate medical attention.,Take antihistamines to relieve any allergic symptoms.,Apply a cold compress to reduce inflammation.
Malaria,Use mosquito nets while sleeping.,Apply insect repellent on exposed skin.,Eliminate stagnant water around the house to prevent mosquito breeding.,Take prescribed antimalarial medications as directed.
Allergy,Identify and avoid the allergen that triggers your allergy symptoms.,Keep windows closed to prevent pollen or other allergens from entering your home.,Use a HEPA air purifier to remove allergens from the air.,Take over-the-counter antihistamines to relieve allergy symptoms.
Hypothyroidism,Take prescribed thyroid medication as directed by your doctor.,"Maintain a balanced diet with adequate iodine, selenium, and zinc.","Avoid consuming excessive amounts of goitrogenic foods, such as cabbage, broccoli, and soy products.",Ensure regular follow-up with your healthcare provider for thyroid hormone level monitoring and dosage adjustments.
Psoriasis,Keep your skin moisturized by applying a non-irritating moisturizer regularly.,"Avoid triggers such as stress, smoking, alcohol, and certain medications.","Gently cleanse the affected areas with mild, fragrance-free soaps or cleansers.",Use prescribed topical treatments or medications as instructed by your healthcare provider.
GERD,"Eat smaller, more frequent meals instead of large meals.","Avoid trigger foods and beverages such as fatty or spicy foods, citrus fruits, caffeine, and alcohol.",Maintain an upright posture for at least two hours after eating.,Elevate the head of your bed by placing blocks or using a wedge pillow to prevent acid reflux while sleeping.
Chronic cholestasis,Follow a low-fat diet to reduce the workload on the liver.,Stay well-hydrated by drinking an adequate amount of water.,Avoid alcohol consumption as it can further damage the liver.,Take prescribed medications or supplements as directed by your doctor to support liver function and manage symptoms.
hepatitis A,"Practice good hygiene by washing your hands thoroughly with soap and water, especially before handling food or eating.",Ensure the consumption of clean and safe drinking water. Avoid drinking untreated or contaminated water.,Get vaccinated against hepatitis A to prevent infection.,"Avoid consuming raw or undercooked shellfish, as they can be a source of hepatitis A contamination."
Osteoarthristis,Engage in regular low-impact exercises to strengthen the muscles around the affected joints and improve joint flexibility.,Maintain a healthy weight to reduce the strain on weight-bearing joints.,Apply hot or cold packs to the affected joints to help relieve pain and inflammation.,"Use assistive devices such as braces, splints, or canes to support and protect the affected joints."
(vertigo) Paroymsal  Positional Vertigo,Avoid sudden head movements or changes in body position that can trigger vertigo episodes.,Sleep with your head slightly elevated to reduce the intensity of vertigo symptoms.,"Take precautionary measures when getting up from bed or changing positions, such as sitting on the edge of the bed for a few moments before standing.","Avoid activities that involve excessive head movements or rapid changes in position, such as looking up for prolonged periods or performing activities that require bending forward."
